an-,  , pref ,a-2 ,"gr (a-,an- priv.)"
a-2,  , pref ,an- ,"gr (a-,an- priv.)"
A1,  , sb ,argon ,
A2,  , sb ,ampere ,
á2,  , f ,ala ,
aba,  , f ,faldra ,
abáboro,  , m ,abázcaro ,
abagar,  , i ,avagar> ,
aballoar2,  , pr ,avelloar> ,
abarcábel,  , a ,abarcable ,
abarcable,  , a ,abarcábel ,
abarrelar,  , t ,arrolar1 ,
abastar,  , i ,bastar ,
abatíbel,  , a ,abatible ,
abatible,  , a ,abatíbel ,
abázcaro,  , m ,abáboro ,
abeaca,  , f ,gueifa ,
abedueira,  , f ,bidueiro> ,
abeleira,  , f ,abraira ,
abellariza,  , f ,alvariza ,
abeluria,  , f ,borleta croque2 estalote estraloque milicroque sanxoán ,
abeneiral,  , m ,ameneiral amieiral ,
abeneiro,  , m ,ameneiro amieiro ,
abesourar,  , i ,abesullar ,
abesullar,  , i ,abesourar ,
abirtar,  , t ,abritar caldeirar ,
abobado, abobada , pt a ,aboubado ,
abobar,  , t pr ,aboubar ,
abominábel,  , a ,abominable ,
abominable,  , a ,abominábel ,
abordábel,  , a ,abordable ,
abordable,  , a ,abordábel ,
abordelar,  , t ,acamboar agabitar atreixar solear ,
aborrear,  , t ,aborroeirar atolar ,
aborrecíbel,  , a ,aborrecible ,
aborrecible,  , a ,aborrecíbel ,
aborroeirar,  , t ,aborrear atolar ,
aboubado, aboubada , pt a ,abobado ,
aboubar,  , t pr ,abobar ,
aboucar,  , t i ,amoucar=> ,
abouxar,  , t ,achourilar ,
abracar,  , i ,brecar1 ,
abraira,  , f ,abeleira ,
ábrego, ábrega , a m ,ávrego> ,
abritar,  , t ,abirtar caldeirar ,
abrogábel,  , a ,abrogable ,pronuncia [b-r]
abrogable,  , a ,abrogábel ,pronuncia [b-r]
abrótea,  , f ,abrótega ouropeso ,
abrótega,  , f ,abrótea ouropeso ,
abruón,  , m ,afumadoiro2 afungadoiro refungadoiro fungadoiro ,
ábsida,  , f ,ousia ,
aburbullar,  , i ,burbullar=> ,
Ac,  , sb ,actinio ,
acachoupar,  , pr ,acazapar ,
acadullar,  , t ,cadabullar cadullar coudullar ,
acaer,  , i ,aquecer ,
acainzar,  , t ,acanizar cainzar canizar ,
acamboar,  , t ,abordelar agabitar atreixar solear ,
acanizar,  , t ,acainzar cainzar canizar ,
acarroular,  , i ,carroulear ,
acastizar,  , t pr ,castizar ,
acazapar,  , pr ,acachoupar ,
accesíbel,  , a ,accesible ,
accesible,  , a ,accesíbel ,
acenar,  , i ,cenar ,
aceno,  , m ,ceno ,
aceptábel,  , a ,aceptable ,
aceptabelmente,  , av ,aceptablemente ,
aceptable,  , a ,aceptábel ,
aceptablemente,  , av ,aceptabelmente ,
acernar,  , t ,cernar ,
acevo,  , m ,acivro xardón ,
acha,  , f ,estela2 ,
achaiar,  , t ,achandar achanzar ,
achancar,  , i ,alancar azancar ,
achandar,  , t ,achaiar achanzar ,
achanzar,  , t ,achaiar achandar ,
achourilar,  , t ,abouxar ,
acibar,  , t ,chibar xebrar ,
acicarro,  , m ,cambón rengueiro ,
ácimo,  , am ,asmo ,
aciriscar,  , t ,cichar cirichar zurrichar ,
acirrar,  , t ,aporrear embizcar encirrar ,
acivro,  , m ,acevo xardón ,
aclimatábel,  , a ,aclimatable ,
aclimatable,  , a ,aclimatábel ,
acobardado, acobardada , pt a ,acovardado> ,
acobardamento,  , m ,acovardamento> ,
acobardar,  , t pr ,acovardar> ,
acoeirar,  , t ,acolar ,
acolar,  , t ,acoeirar ,
acoletar,  , t ,colear2 ,colo
acolleito, acolleita , pt a ,acollido ,
acollido, acollida , pt a f ,acolleito ,
acompasar,  , t ,compasar=> ,
aconchado, aconchada , a ,acunchado ,
acondicionábel,  , a ,acondicionable ,
acondicionable,  , a ,acondicionábel ,
aconsellábel,  , a ,aconsellable ,
aconsellable,  , a ,aconsellábel ,
aconsellar,  , t pr ,consellar ,
acortar,  , t ,acurtar=> ,
acotío,  , av ,decotío ,
acougar,  , i ,apazugar ,
acrecentábel,  , a ,acrecentable ,
acrecentable,  , a ,acrecentábel ,
acreditábel,  , a ,acreditable ,
acreditable,  , a ,acreditábel ,
acreditación,  , f ,credencial=> ,
acumulábel,  , a ,acumulable ,
acumulable,  , a ,acumulábel ,
acunchado, acunchada , a ,aconchado ,
acurrunchar,  , t pr ,arrecunchar ,
acusábel,  , a ,acusable ,
acusable,  , a ,acusábel ,
adaptábel,  , a ,adaptable ,
adaptable,  , a ,adaptábel ,
aden-,  , pref ,adeno- ,gr 'glándula'
adeno-,  , pref ,aden- ,gr 'glándula'
adiábel,  , a ,adiable ,
adiable,  , a ,adiábel ,
adialla,  , f ,amecedalla engadalla ,
adicar,  , t ,dedicar=> ,
adival,  , m ,luria rello1 trelo ,
administrábel,  , a ,administrable ,
administrable,  , a ,administrábel ,
admirábel,  , a ,admirable ,
admirabelmente,  , av ,admirablemente ,
admirable,  , a ,admirábel ,
admirablemente,  , av ,admirabelmente ,
admisíbel,  , a ,admisible ,
admisible,  , a ,admisíbel ,
adobar,  , t ,adubar ,
adobo,  , m ,adubo ,
adoptábel,  , a ,adoptable ,
adoptable,  , a ,adoptábel ,
adorábel,  , a ,adorable ,
adorabelmente,  , av ,adorablemente ,
adorable,  , a ,adorábel ,
adorablemente,  , av ,adorabelmente ,
adquiríbel,  , a ,adquirible ,
adquirible,  , a ,adquiríbel ,
adubar,  , t ,adobar ,
adubo,  , m ,adobo ,
aducíbel,  , a ,aducible ,
aducible,  , a ,aducíbel ,
adulterábel,  , a ,adulterable ,
adulterable,  , a ,adulterábel ,
advido, advida , pt a ,advindo ,advir
advindo, advinda , pt a ,advido ,advir
adxectivábel,  , a ,adxectivable ,
adxectivable,  , a ,adxectivábel ,
adxudicábel,  , a ,adxudicable ,
adxudicable,  , a ,adxudicábel ,
aerotransportábel,  , a ,aerotransportable ,
aerotransportable,  , a ,aerotransportábel ,
afábel,  , a ,afable ,
afabelmente,  , av ,afablemente ,
afable,  , a ,afábel ,
afablemente,  , av ,afabelmente ,
afeminadamente,  , av ,efeminadamente=> ,
afeminado,  , pt a ,efeminado=> ,
afeminamento,  , m ,efeminamento=> ,
afeminar,  , t pr ,efeminar=> ,
afialápices,  , m ,afialapis> ,
afialapis,  , m ,aguzalapis ,
aficionado, aficionada , a s ,afeccionado=> ,
aforcar,  , t pr ,enforcar ,
afoscar,  , t i ,afuscar> ,
afuadoiro,  , m ,afungadoiro=> ,
afuar,  , t ,afungar=> ,
afumadoiro2,  , m ,abruón afungadoiro fungadoiro refungadoiro ,lat 'funis' 'corda'
afumar2,  , t ,afungar ,lat 'funis' 'corda'
afungadoiro,  , m ,abruón afumadoiro2 fungadoiro refungadoiro ,
afungar,  , t ,afumar2 ,
Ag,  , sb ,prata1 ,
aga,  , pp ,agás ,
agabitar,  , t ,abordelar acamboar atreixar solear ,
agámico, agámica , a ,ágamo ,
ágamo, ágama , a ,agámico ,
agás,  , pp ,aga ,
agatuñar,  , t i ,i engatar gabear gapear gatear ,
aglutinábel,  , a ,aglutinable ,
aglutinable,  , a ,aglutinábel ,
agoadizo, agoadiza , a ,degoado ,
agoar,  , t ,degoar ,
agochar,  , t pr ,acochar ,
agocho,  , m ,acocho ,
agomar,  , i ,agromar ,
agradábel,  , a ,agradable ,
agradabelmente,  , av ,agradablemente ,
agradable,  , a ,agradábel ,
agradablemente,  , av ,agradabelmente ,
agradar2,  , t ,gradar ,grade
agrade,  , f ,grade ,
agramar,  , t ,gramar=> ,
agregábel,  , a ,agregable ,
agregable,  , a ,agregábel ,
agretar,  , i pr ,degresar degretar ,
agromar,  , i ,agomar ,
