Entrada	Xénero complementario	Categoría	Sinónimos	Nota
an-	  	 pref 	a-2 	gr (a-,an- priv.)
ala1	  	 f 	á2 	
abázcaro	  	 m 	abáboro 	
badexo	  	 m 	abadexo> 	
abarcable	  	 a 	abarcábel 	
abarcábel	  	 a 	abarcable 	
arrolar1	  	 t pr 	abarrelar 	< rorro
bastar	  	 i 	abastar 	
abatible	  	 a 	abatíbel 	
abatíbel	  	 a 	abatible 	
abáboro	  	 m 	abázcaro 	
zángano	  	 m 	abázcaro> 	
gueifa	  	 f 	abeaca 	
resgardar	  	 t pr 	abeirar 	
burladero	  	 m 	abeiro> 	
abraira	  	 f 	abeleira 	
alvariza	  	 f 	abellariza 	
sanxoán	  	 m 	abeluria borleta croque2 estalote estraloque milicroque 	
milicroque	  	 m 	abeluria borleta croque2 estalote estraloque sanxoán 	
estraloque	  	 m 	abeluria borleta croque2 estalote milicroque sanxoán 	
estalote	  	 m 	abeluria borleta croque2 estraloque milicroque sanxoán 	
croque2	  	 m 	abeluria borleta estalote estraloque milicroque sanxoán 	
borleta	  	 f 	abeluria croque2 estalote estraloque milicroque sanxoán 	
obertura	  	 f 	abertura> 	
abesullar	  	 i 	abesourar 	
abesourar	  	 i 	abesullar 	
caldeirar	  	 t 	abirtar abritar 	caldeira2
abritar	  	 t 	abirtar caldeirar 	
aboubado	 aboubada 	 pt a 	abobado 	
aboubar	  	 t pr 	abobar 	
abominable	  	 a 	abominábel 	
abominábel	  	 a 	abominable 	
dabondo	  	 av 	abondo 	
abordable	  	 a 	abordábel 	
abordábel	  	 a 	abordable 	
solear	  	 t 	abordelar acamboar agabitar atreixar 	
atreixar	  	 t 	abordelar acamboar agabitar solear 	
agabitar	  	 t 	abordelar acamboar atreixar solear 	
acamboar	  	 t 	abordelar agabitar atreixar solear 	
atolar	  	 t 	aborrear aborroeirar 	< tola
aborroeirar	  	 t 	aborrear atolar 	
aborrecible	  	 a 	aborrecíbel 	
aborrecíbel	  	 a 	aborrecible 	
aborrear	  	 t 	aborroeirar atolar 	
abobado	 abobada 	 pt a 	aboubado 	
abobar	  	 t pr 	aboubar 	
achourilar	  	 t 	abouxar 	
brecar1	  	 i 	abracar 	
abeleira	  	 f 	abraira 	
abirtar	  	 t 	abritar caldeirar 	
abrogable	  	 a 	abrogábel 	pronuncia [b-r]
abrogábel	  	 a 	abrogable 	pronuncia [b-r]
